City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Zhigalovo,RU,2021-12-23 05:04:41,54.8097,105.1578,-18.4,91,47,1.5
245,Inirida,CO,2021-12-23 05:00:43,3.8653,-67.9239,74.73,97,73,1.48
246,Sisimiut,GL,2021-12-23 05:04:42,66.9395,-53.6735,27.52,91,100,6.69
247,Majene,ID,2021-12-23 05:04:42,-3.5403,118.9707,84.58,69,100,14.09
248,Dejen,ET,2021-12-23 05:04:43,10.1667,38.1333,56.52,58,13,3.83
249,Cheremshan,RU,2021-12-23 05:04:44,54.6667,51.5,-1.07,97,99,7.63
250,Mar Del Plata,AR,2021-12-23 05:04:44,-38.0023,-57.5575,64.87,87,6,5.01
251,Saint-Joseph,RE,2021-12-23 05:04:45,-21.3667,55.6167,84.2,76,97,2.8
252,Puro,PH,2021-12-23 05:04:45,12.4841,123.3827,83.82,67,92,9.04
253,Caravelas,BR,2021-12-23 05:04:45,-17.7125,-39.2481,74.57,95,89,10.16
254,Luganville,VU,2021-12-23 05:04:46,-15.5333,167.1667,83.68,75,53,1.21
255,Perm,RU,2021-12-23 05:04:46,58.0174,56.2855,-6.34,77,75,2.24
256,Geraldton,AU,2021-12-23 05:04:47,-28.7667,114.6,84.61,45,4,18.41
257,Bethel,US,2021-12-23 05:04:47,41.3712,-73.414,33.57,56,4,1.99
258,Dalbandin,PK,2021-12-23 05:04:47,28.8947,64.4101,65.55,26,82,8.68
259,Vila Velha,BR,2021-12-23 05:04:28,-20.3297,-40.2925,76.95,92,75,4.0
260,Lieksa,FI,2021-12-23 05:04:48,63.3167,30.0167,18.16,92,100,11.3
261,Dwarka,IN,2021-12-23 05:04:49,22.2394,68.9678,74.08,69,7,4.94
262,Alyangula,AU,2021-12-23 05:04:49,-13.8483,136.4192,88.21,57,96,6.46
263,Souillac,MU,2021-12-23 05:04:49,-20.5167,57.5167,81.36,74,88,5.3
264,Zhuhai,CN,2021-12-23 05:04:50,22.2769,113.5678,72.72,83,20,6.91
265,Bereda,ES,2021-12-23 05:04:50,43.2686,-7.5406,55.42,73,100,7.52
266,Khani,GE,2021-12-23 05:04:51,41.9563,42.9566,18.97,85,100,6.04
267,Itarema,BR,2021-12-23 05:04:51,-2.9248,-39.9167,79.61,80,61,11.79
268,Korla,CN,2021-12-23 05:04:52,41.7597,86.1469,30.85,48,89,6.51
269,Pemba,MZ,2021-12-23 05:04:52,-12.974,40.5178,80.89,75,38,6.17
270,Sibolga,ID,2021-12-23 05:04:52,1.7427,98.7792,83.61,67,100,4.36
271,Sao Joao Da Barra,BR,2021-12-23 05:04:53,-21.6403,-41.0511,75.94,90,98,6.31
272,Yulara,AU,2021-12-23 05:04:53,-25.2406,130.9889,87.64,29,96,20.71
273,Pitimbu,BR,2021-12-23 05:05:54,-7.4706,-34.8086,79.39,82,98,7.31
274,Mumford,GH,2021-12-23 05:05:54,5.2618,-0.759,76.23,77,85,4.32
275,Taoudenni,ML,2021-12-23 05:05:54,22.6783,-3.9836,65.77,32,72,11.65
276,Maracacume,BR,2021-12-23 05:05:55,-2.0428,-45.9592,73.44,98,95,1.61
277,Petropavlovsk-Kamchatskiy,RU,2021-12-23 05:05:55,53.0452,158.6483,18.19,63,75,4.47
278,Sandusky,US,2021-12-23 05:05:56,41.3501,-83.1332,25.84,82,4,1.99
279,Gazli,UZ,2021-12-23 05:05:56,40.1333,63.45,42.93,75,19,10.49
280,Pathein,MM,2021-12-23 05:05:57,16.7833,94.7333,80.65,45,15,6.22
281,Bardiyah,LY,2021-12-23 05:05:57,31.7561,25.0865,54.37,72,100,11.07
282,Hofn,IS,2021-12-23 05:05:57,64.2539,-15.2082,34.0,76,97,19.89
283,Mandalay,MM,2021-12-23 05:01:15,21.9747,96.0836,77.09,64,5,5.93
284,Tabou,CI,2021-12-23 05:05:58,4.423,-7.3528,78.66,81,42,1.5
285,Nikolskoye,RU,2021-12-23 05:05:59,59.7035,30.7861,21.02,87,100,10.87
286,Nome,US,2021-12-23 05:05:59,64.5011,-165.4064,12.27,85,75,9.22
287,Kununurra,AU,2021-12-23 05:06:00,-15.7667,128.7333,96.78,44,97,6.91
288,Hobyo,SO,2021-12-23 05:06:00,5.3505,48.5268,79.9,74,83,19.17
289,Barra,BR,2021-12-23 05:06:01,-11.0894,-43.1417,74.43,77,35,1.72
290,Pomabamba,PE,2021-12-23 05:06:01,-8.8333,-77.4667,50.25,76,100,2.84
291,Ixtapa,MX,2021-12-23 05:06:02,20.7,-105.2,70.23,94,1,0.0
