City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Nanortalik,GL,60.1432,-45.2371,27.91,93,100,28.03,snow
274,Kruisfontein,ZA,-34.0033,24.7314,68.88,92,12,12.3,few clouds
275,Powell,US,40.1578,-83.0752,38.34,67,1,1.01,clear sky
276,Chulman,RU,56.8479,124.9104,-21.44,100,99,0.72,overcast clouds
277,Carballo,ES,43.213,-8.691,49.87,94,73,2.82,broken clouds
278,Pisco,PE,-13.7,-76.2167,71.02,88,0,11.5,clear sky
279,Balabac,PH,7.9868,117.0645,80.85,79,100,16.96,light rain
280,Verkhnyaya Inta,RU,65.9811,60.3094,-13.22,98,100,11.21,overcast clouds
281,Mahibadhoo,MV,3.7833,72.9667,81.43,77,92,15.3,overcast clouds
282,Lotofaga,WS,-13.9764,-171.8578,82.18,78,98,13.62,light rain
283,Qaqortoq,GL,60.7167,-46.0333,32.5,95,100,27.81,snow
284,San Andres,CO,12.5847,-81.7006,80.62,74,20,13.8,few clouds
285,Burnie,AU,-41.0667,145.9167,67.91,67,100,11.97,overcast clouds
286,Bilma,NE,18.6853,12.9164,56.57,41,56,6.64,broken clouds
287,Cedar City,US,37.6775,-113.0619,35.4,61,1,5.75,clear sky
288,Awbari,LY,26.5921,12.7805,50.97,55,0,6.69,clear sky
289,Kamenka,RU,51.3223,42.7678,1.74,100,60,2.84,broken clouds
290,Elko,US,41.0002,-115.5012,35.62,93,97,8.79,overcast clouds
291,Lata,PT,40.1629,-8.3327,51.82,91,99,3.31,overcast clouds
292,Rantoul,US,40.3084,-88.1559,36.45,77,1,8.01,clear sky
293,Sitka,US,57.0531,-135.33,15.69,53,40,11.5,scattered clouds
294,Marawi,PH,7.9986,124.2928,73.65,72,94,4.03,overcast clouds
295,Rincon,US,32.296,-81.2354,55.85,85,90,5.75,overcast clouds
296,Kisangani,CD,0.5167,25.2,67.82,97,100,1.81,overcast clouds
297,Kieta,PG,-6.2167,155.6333,87.3,66,45,3.78,light rain
298,Ulaanbaatar,MN,47.9077,106.8832,-11.07,70,2,2.24,clear sky
299,Cabo San Lucas,MX,22.8909,-109.9124,71.91,65,1,6.91,clear sky
300,Ngunguru,NZ,-35.6167,174.5,72.5,69,83,10.67,broken clouds
301,Sembe,CG,1.6481,14.5806,70.74,73,77,2.15,broken clouds
302,Campoverde,PE,-8.4753,-74.8058,82.09,45,100,2.44,overcast clouds
303,Tres Arroyos,AR,-38.3739,-60.2798,53.35,67,3,6.64,clear sky
304,Shahdadkot,PK,27.8477,67.9055,57.34,85,100,5.06,overcast clouds
305,Zdvinsk,RU,54.7021,78.661,0.95,92,99,7.61,overcast clouds
306,Vila,PT,42.0304,-8.1588,38.75,92,84,2.93,broken clouds
307,Namatanai,PG,-3.6667,152.4333,84.02,74,86,11.32,light rain
308,Tarakan,ID,3.3,117.6333,83.7,74,40,8.05,scattered clouds
309,Hofn,IS,64.2539,-15.2082,23.16,58,21,7.36,few clouds
310,Touros,BR,-5.1989,-35.4608,81.5,74,11,13.31,few clouds
311,Abasolo,MX,20.45,-101.5167,61.54,30,0,1.81,clear sky
312,Korgen,NO,66.0771,13.8153,27.27,93,100,2.17,overcast clouds
313,Auki,SB,-8.7676,160.7034,84.45,71,88,9.55,overcast clouds
314,Nara,JP,34.6851,135.8049,46.49,39,74,10.71,broken clouds
315,Kyzyl-Suu,KG,42.3414,78.0056,27.63,77,100,4.38,overcast clouds
316,Suntar,RU,62.1444,117.6319,-34.91,98,100,2.75,overcast clouds
317,Teya,RU,60.3778,92.6267,21.69,91,100,8.34,overcast clouds
318,Hamilton,US,39.1834,-84.5333,41.76,75,1,1.99,clear sky
319,Kintampo,GH,8.0563,-1.7306,78.75,22,89,4.12,overcast clouds
320,Nagtipunan,PH,16.2167,121.6,77.72,64,73,2.51,broken clouds
321,Lavrentiya,RU,65.5833,-171.0,4.1,56,25,5.19,scattered clouds
322,Baiao,BR,-2.7906,-49.6717,72.81,99,87,1.86,overcast clouds
323,Bayburt,TR,40.2589,40.2278,20.73,97,100,0.49,overcast clouds
324,Santa Rosa,PH,14.3122,121.1114,83.08,68,72,15.08,broken clouds
325,Baykit,RU,61.67,96.37,8.98,98,100,3.22,overcast clouds
326,Ovalle,CL,-30.5983,-71.2003,71.65,56,0,3.47,clear sky
327,Itarema,BR,-2.9248,-39.9167,78.8,84,72,13.11,broken clouds
328,Kousseri,CM,12.0769,15.0306,62.56,36,89,6.91,overcast clouds
329,Ust-Ishim,RU,57.6935,71.1665,-4.05,95,62,7.9,broken clouds
330,Havoysund,NO,70.9963,24.6622,14.88,90,100,17.74,light snow
331,Durres,AL,41.3231,19.4414,51.98,77,63,7.49,broken clouds
332,Warren,US,39.4334,-84.1666,41.07,76,1,1.99,clear sky
333,Gigmoto,PH,13.7796,124.39,77.36,78,98,15.12,overcast clouds
334,Ayorou,NE,14.7308,0.9174,65.34,26,1,9.86,clear sky
335,Egvekinot,RU,66.3167,-179.1667,6.37,89,100,2.57,overcast clouds
336,Anuradhapura,LK,8.3565,80.4173,73.13,89,84,3.58,broken clouds
337,Tocopilla,CL,-22.092,-70.1979,68.76,73,12,1.92,few clouds
338,Akranes,IS,64.3218,-22.0749,32.56,79,100,20.02,overcast clouds
339,Ugoofaaru,MV,5.6667,73.0,81.84,75,54,10.13,broken clouds
340,Casas Grandes,MX,30.3667,-107.95,50.45,27,4,3.98,clear sky
341,Santa Cruz,BO,-17.8,-63.1667,78.26,89,40,6.91,scattered clouds
342,Rafai,CF,4.95,23.9167,68.49,45,97,1.66,overcast clouds
343,Bonavista,CA,48.6499,-53.1147,15.12,71,100,31.34,overcast clouds
344,Bambanglipuro,ID,-7.95,110.2833,82.71,67,86,5.75,overcast clouds
